Field 2,Field 3,custom_web_address
Bartlett Quad,,"http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&ll=41.792489,-87.599096&spn=0.0023,0.004876&z=18&msid=112106965123750206647.00044d12fd668cf60f489"
"Beecher Hall, Room 101","5844 South University Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/beecher.html
"Beecher Hall, Room 102","5844 South University Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/beecher.html
"Bernard Mitchell Hospital, Room TN208","5815 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/mitchell.html
"Bernard Mitchell Hospital, TW-040","5815 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/mitchell.html
"Billing Hospital, Room L272","950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room MC 7132","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room E-215","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room G-217","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room H-103","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room H-300","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room J-103","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room L-168","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room L272","950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room L316","950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room M137","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room M214","950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room N701","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room N704","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room O-413","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room P-110","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room P-117","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room P118 (Kodak)","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room Q207B (AMB)","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room Q217","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room W229","950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Billings Hospital, Room W632","950 East 59th Street, Chicago, IL",http://maps.uchicago.edu/westquad/billings.html
Billings Hospital. Room P-315,"950 East 59th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/billings.html
"Biological Sciences Learning Center, Lobby","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 001","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 008","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 009","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 018","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 104","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 109","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
